from_pretrained,model_cfg,model_cls,model_type,lr,batch_size,HVD_SIZE,lr_scheduler,input_seq_len,max_n_segments,input_size,num_mem_tokens,segment_ordering,model_path,sum_loss,memory_layers,share_memory_layers,reconstruction_loss_coef,num_steps,best_valid_exact_match
t5-base,,modeling_rmt:RMTEncoderDecoderForConditionalGeneration,encoder-decoder,1e-05,4,4,linear,499,2,261,10.0,regular,../runs/framework/babilong/t5-base/lr1e-05_linear_adamw_wd1e-03_499-512-{2}seg_mem10_bs32_iters10000_regular/run_1,False,,False,,10000.0,18.00766372680664
t5-base,,modeling_rmt:RMTEncoderDecoderMemoryLayers,encoder-decoder,1e-05,1,4,linear,499,2,512,10.0,regular,../runs/framework/babilong/t5-base/lr1e-05_linear_adamw_wd1e-03_499-512-{2}seg_mem10_bs32_iters5000_regular_memory_layers_shared/run_1,False,all,True,,5000.0,100.0
t5-base,,modeling_rmt:RMTEncoderDecoderHorizontalMemory,encoder-decoder,1e-05,2,4,linear,499,3,178,10.0,regular,../runs/framework/babilong/t5-base/lr1e-05_linear_adamw_wd1e-03_499-512-{3}seg_mem10_bs32_iters10000_regular_ilm_mem_layers_shared/run_3,False,all,True,,10000.0,99.95211029052734
t5-base,,modeling_rmt:RMTEncoderDecoderHorizontalMemory,encoder-decoder,1e-05,2,4,linear,499,3,178,10.0,regular,../runs/framework/babilong/t5-base/lr1e-05_linear_adamw_wd1e-03_499-512-{3}seg_mem10_bs32_iters10000_regular_ilm_mem_layers_shared/run_2,False,all,True,,10000.0,100.0
t5-base,,modeling_rmt:RMTEncoderDecoderHorizontalMemory,encoder-decoder,1e-05,2,4,linear,499,3,178,10.0,regular,../runs/framework/babilong/t5-base/lr1e-05_linear_adamw_wd1e-03_499-512-{3}seg_mem10_bs32_iters10000_regular_ilm_mem_layers_shared/run_1,False,all,True,,10000.0,100.0
t5-base,,modeling_rmt:RMTEncoderDecoderMemoryLayers,encoder-decoder,1e-05,2,4,linear,499,4,136,10.0,regular,../runs/framework/babilong/t5-base/lr1e-05_linear_adamw_wd1e-03_499-512-{4}seg_mem10_bs32_iters10000_regular_memory_layers_shared/run_3,False,all,True,,10000.0,100.0
t5-base,,modeling_rmt:RMTEncoderDecoderMemoryLayers,encoder-decoder,1e-05,2,4,linear,499,4,136,10.0,regular,../runs/framework/babilong/t5-base/lr1e-05_linear_adamw_wd1e-03_499-512-{4}seg_mem10_bs32_iters10000_regular_memory_layers_shared/run_2,False,all,True,,10000.0,100.0
t5-base,,modeling_rmt:RMTEncoderDecoderMemoryLayers,encoder-decoder,1e-05,2,4,linear,499,2,261,10.0,regular,../runs/framework/babilong/t5-base/lr1e-05_linear_adamw_wd1e-03_499-512-{2}seg_mem10_bs32_iters10000_regular_memory_layers_shared/run_3,False,all,True,,10000.0,100.0
t5-base,,modeling_rmt:RMTEncoderDecoderMemoryLayers,encoder-decoder,1e-05,2,4,linear,499,2,261,10.0,regular,../runs/framework/babilong/t5-base/lr1e-05_linear_adamw_wd1e-03_499-512-{2}seg_mem10_bs32_iters10000_regular_memory_layers_shared/run_2,False,all,True,,10000.0,100.0
t5-base,,modeling_rmt:RMTEncoderDecoderMemoryLayers,encoder-decoder,1e-05,2,4,linear,499,2,261,10.0,regular,../runs/framework/babilong/t5-base/lr1e-05_linear_adamw_wd1e-03_499-512-{2}seg_mem10_bs32_iters10000_regular_memory_layers_shared/run_1,False,all,True,,10000.0,100.0
