from_pretrained,model_cfg,model_cls,model_type,lr,batch_size,HVD_SIZE,lr_scheduler,input_seq_len,max_n_segments,input_size,num_mem_tokens,segment_ordering,model_path,sum_loss,memory_layers,share_memory_layers,reconstruction_loss_coef,num_steps,best_valid_exact_match
bert-base-cased,,modeling_rmt:RMTEncoderForSequenceClassification,encoder,1e-05,8,1,linear,4990,10,512,10,regular,../runs/curriculum_task/babilong_reasoning/bert-base-cased/linear_adamw_wd1e-03_4990-512-{10}seg_mem10_bs128_regular_5-10seg_eval/run_1,False,,False,,,97.94999694824219
bert-base-cased,,modeling_rmt:RMTEncoderForSequenceClassification,encoder,1e-05,4,2,linear,7485,15,512,10,regular,../runs/curriculum_task/babilong_reasoning/bert-base-cased/linear_adamw_wd1e-03_7485-512-{15}seg_mem10_bs128_regular_3-15seg_eval/run_1,False,,False,,,56.45000076293945
bert-base-cased,,modeling_rmt:RMTEncoderForSequenceClassification,encoder,1e-05,4,1,linear,6487,13,512,10,regular,../runs/curriculum_task/babilong_reasoning/bert-base-cased/linear_adamw_wd1e-03_6487-512-{13}seg_mem10_bs128_regular_4-13seg_eval/run_2,False,,False,,,90.19999694824219
bert-base-cased,,modeling_rmt:RMTEncoderForSequenceClassification,encoder,1e-05,4,1,linear,6487,13,512,10,regular,../runs/curriculum_task/babilong_reasoning/bert-base-cased/linear_adamw_wd1e-03_6487-512-{13}seg_mem10_bs128_regular_4-13seg_eval/run_1,False,,False,,,87.94999694824219
bert-base-cased,,modeling_rmt:RMTEncoderForSequenceClassification,encoder,1e-05,8,2,linear,4491,9,512,10,regular,../runs/curriculum_task/babilong_reasoning/bert-base-cased/linear_adamw_wd1e-03_4491-512-{9}seg_mem10_bs128_regular_2-9seg_eval/run_2,False,,False,,,58.650001525878906
bert-base-cased,,modeling_rmt:RMTEncoderForSequenceClassification,encoder,1e-05,8,2,linear,4491,9,512,10,regular,../runs/curriculum_task/babilong_reasoning/bert-base-cased/linear_adamw_wd1e-03_4491-512-{9}seg_mem10_bs128_regular_2-9seg_eval/run_1,False,,False,,,47.650001525878906
bert-base-cased,,modeling_rmt:RMTEncoderForSequenceClassification,encoder,5e-05,1,8,linear,2495,5,512,10,regular,../runs/curriculum_task/babilong_reasoning/bert-base-cased/linear_adamw_wd1e-03_2495-512-{5}seg_mem10_bs32_regular_from_cpt_4-5/run_2,False,,False,,20000.0,99.80000305175781
bert-base-cased,,modeling_rmt:RMTEncoderForSequenceClassification,encoder,5e-05,1,8,linear,2495,5,512,10,regular,../runs/curriculum_task/babilong_reasoning/bert-base-cased/linear_adamw_wd1e-03_2495-512-{5}seg_mem10_bs32_regular_from_cpt_4-5/run_1,False,,False,,20000.0,100.0
bert-base-cased,,modeling_rmt:RMTEncoderForSequenceClassification,encoder,1e-05,16,1,linear,7984,16,512,10,regular,../runs/curriculum_task/babilong_reasoning/bert-base-cased/linear_adamw_wd1e-03_7984-512-{16}seg_mem10_bs128_regular_6-16seg_eval/run_2,False,,False,,,94.30000305175781
bert-base-cased,,modeling_rmt:RMTEncoderForSequenceClassification,encoder,1e-05,16,1,linear,7984,16,512,10,regular,../runs/curriculum_task/babilong_reasoning/bert-base-cased/linear_adamw_wd1e-03_7984-512-{16}seg_mem10_bs128_regular_6-16seg_eval/run_1,False,,False,,,91.25
