task_name,from_pretrained,model_cfg,model_cls,model_type,lr,batch_size,lr_scheduler,max_n_segments,input_size,num_mem_tokens,model_path,num_steps,best_valid_exact_match,key_size,value_size,num_pairs
associative_retrieval_v2,,/home/jovyan/rmt/wip/base_models/gptconfigs/neox_tiny.json,base_models.modeling_gpt_neox:GPTNeoXForCausalLM,decoder,0.001,512,linear,2,,1,../runs/associative_retrieval_v2//lr1e-03_linear_adamw_wd1e-03_k4-v16-p1-2x2048_mem1_bs512_regular_bptt-2/run_1,95000,0.3076249957084656,4,16,1
associative_retrieval_v2,,/home/jovyan/rmt/wip/base_models/gptconfigs/neox_tiny.json,base_models.modeling_gpt_neox:GPTNeoXForCausalLM,decoder,0.001,512,linear,2,,4,../runs/associative_retrieval_v2//lr1e-03_linear_adamw_wd1e-03_k4-v8-p1-2x2048_mem4_bs512_regular_bptt-2_from_cpt/run_4,100000,1.0,4,8,1
associative_retrieval_v2,,/home/jovyan/rmt/wip/base_models/gptconfigs/neox_tiny.json,base_models.modeling_gpt_neox:GPTNeoXForCausalLM,decoder,0.001,512,linear,2,,2,../runs/associative_retrieval_v2//lr1e-03_linear_adamw_wd1e-03_k4-v16-p1-2x2048_mem2_bs512_regular_bptt-2/run_1,100000,0.43031251430511475,4,16,1
associative_retrieval_v2,,/home/jovyan/rmt/wip/base_models/gptconfigs/neox_tiny.json,base_models.modeling_gpt_neox:GPTNeoXForCausalLM,decoder,0.0001,2048,linear,2,,2,../runs/associative_retrieval_v2//lr1e-04_linear_adamw_wd1e-03_k4-v16-p1-2x2048_mem2_bs2048_regular_bptt-2/run_1,25000,0.49306249618530273,4,16,1
associative_retrieval_v2,,/home/jovyan/rmt/wip/base_models/gptconfigs/neox_tiny.json,base_models.modeling_gpt_neox:GPTNeoXForCausalLM,decoder,0.001,512,linear,2,,4,../runs/associative_retrieval_v2//lr1e-03_linear_adamw_wd1e-03_k4-v16-p1-2x2048_mem4_bs512_regular_bptt-2_from_cpt/run_4,0,0.059562500566244125,4,16,1
associative_retrieval_v2,,/home/jovyan/rmt/wip/base_models/gptconfigs/neox_tiny.json,base_models.modeling_gpt_neox:GPTNeoXForCausalLM,decoder,0.001,512,linear,2,,4,../runs/associative_retrieval_v2//lr1e-03_linear_adamw_wd1e-03_k4-v16-p1-2x2048_mem4_bs512_regular_bptt-2_from_cpt/run_4,42500,0.44350001215934753,4,16,1
associative_retrieval_v2,,/home/jovyan/rmt/wip/base_models/gptconfigs/neox_tiny.json,base_models.modeling_gpt_neox:GPTNeoXForCausalLM,decoder,0.001,512,linear,2,,4,../runs/associative_retrieval_v2//lr1e-03_linear_adamw_wd1e-03_k4-v32-p1-2x2048_mem4_bs512_regular_bptt-2_from_cpt/run_4,42500,0.2770312428474426,4,32,1
associative_retrieval_v2,,/home/jovyan/rmt/wip/base_models/gptconfigs/neox_tiny.json,base_models.modeling_gpt_neox:GPTNeoXForCausalLM,decoder,0.001,2048,linear,2,,2,../runs/associative_retrieval_v2//lr1e-03_linear_adamw_wd1e-03_k4-v16-p1-2x2048_mem2_bs2048_regular_bptt-2/run_1,22500,0.4860000014305115,4,16,1
associative_retrieval_v2,,/home/jovyan/rmt/wip/base_models/gptconfigs/neox_tiny.json,base_models.modeling_gpt_neox:GPTNeoXForCausalLM,decoder,1e-05,2048,linear,2,,2,../runs/associative_retrieval_v2//lr1e-05_linear_adamw_wd1e-03_k4-v16-p1-2x2048_mem2_bs2048_regular_bptt-2/run_1,25000,0.28468748927116394,4,16,1
associative_retrieval_v2,,/home/jovyan/rmt/wip/base_models/gptconfigs/neox_tiny.json,base_models.modeling_gpt_neox:GPTNeoXForCausalLM,decoder,0.001,512,linear,2,,4,../runs/associative_retrieval_v2//lr1e-03_linear_adamw_wd1e-03_k4-v64-p1-2x2048_mem4_bs512_regular_bptt-2_from_cpt/run_4,42500,0.18729688227176666,4,64,1
associative_retrieval_v2,,/home/jovyan/rmt/wip/base_models/gptconfigs/neox_tiny.json,base_models.modeling_gpt_neox:GPTNeoXForCausalLM,decoder,0.0001,512,linear,2,,4,../runs/associative_retrieval_v2//lr1e-04_linear_adamw_wd1e-03_k4-v8-p1-2x2048_mem4_bs512_regular_bptt-2_from_cpt/run_4,50000,0.9516249895095825,4,8,1
associative_retrieval_v2,,/home/jovyan/rmt/wip/base_models/gptconfigs/neox_tiny.json,base_models.modeling_gpt_neox:GPTNeoXForCausalLM,decoder,5e-05,2048,linear,2,,2,../runs/associative_retrieval_v2//lr5e-05_linear_adamw_wd1e-03_k4-v16-p1-2x2048_mem2_bs2048_regular_bptt-2/run_1,0,0.015625,4,16,1
associative_retrieval_v2,,/home/jovyan/rmt/wip/base_models/gptconfigs/neox_tiny.json,base_models.modeling_gpt_neox:GPTNeoXForCausalLM,decoder,5e-05,2048,linear,2,,2,../runs/associative_retrieval_v2//lr5e-05_linear_adamw_wd1e-03_k4-v16-p1-2x2048_mem2_bs2048_regular_bptt-2/run_1,25000,0.47093749046325684,4,16,1
associative_retrieval_v2,,/home/jovyan/rmt/wip/base_models/gptconfigs/neox_tiny.json,base_models.modeling_gpt_neox:GPTNeoXForCausalLM,decoder,0.0005,2048,linear,2,,2,../runs/associative_retrieval_v2//lr5e-04_linear_adamw_wd1e-03_k4-v16-p1-2x2048_mem2_bs2048_regular_bptt-2/run_1,22500,0.49123528599739075,4,16,1
associative_retrieval_v2,,/home/jovyan/rmt/wip/base_models/gptconfigs/neox_tiny.json,base_models.modeling_gpt_neox:GPTNeoXForCausalLM,decoder,0.005,2048,linear,2,,2,../runs/associative_retrieval_v2//lr5e-03_linear_adamw_wd1e-03_k4-v16-p1-2x2048_mem2_bs2048_regular_bptt-2/run_1,21250,0.2957647144794464,4,16,1
associative_retrieval_v2,,/home/jovyan/rmt/wip/base_models/gptconfigs/neox_tiny.json,base_models.modeling_gpt_neox:GPTNeoXForCausalLM,decoder,0.0001,2048,linear,2,,1,../runs/associative_retrieval_v2//lr1e-04_linear_adamw_wd1e-03_k4-v4-p1-2x2048_mem1_bs2048_regular_bptt-2/run_1,25000,0.3758000135421753,4,4,1
associative_retrieval_v2,,/home/jovyan/rmt/wip/base_models/gptconfigs/neox_tiny.json,base_models.modeling_gpt_neox:GPTNeoXForCausalLM,decoder,0.0001,2048,linear,2,,1,../runs/associative_retrieval_v2//lr1e-04_linear_adamw_wd1e-03_k4-v4-p1-2x2048_mem1_bs2048_regular_bptt-2/run_1,25000,0.43700000643730164,4,4,1
associative_retrieval_v2,,/home/jovyan/rmt/wip/base_models/gptconfigs/neox_tiny.json,base_models.modeling_gpt_neox:GPTNeoXForCausalLM,decoder,0.0001,2048,linear,2,,1,../runs/associative_retrieval_v2//lr1e-04_linear_adamw_wd1e-03_k4-v4-p1-2x2048_mem1_bs2048_regular_bptt-2/run_2,50000,0.5708000063896179,4,4,1
associative_retrieval_v2,,/home/jovyan/rmt/wip/base_models/gptconfigs/neox_tiny.json,base_models.modeling_gpt_neox:GPTNeoXForCausalLM,decoder,0.0001,2048,linear,2,,1,../runs/associative_retrieval_v2//lr1e-04_linear_adamw_wd1e-03_k4-v4-p1-2x2048_mem1_bs2048_regular_bptt-2/run_3,50000,0.6104000210762024,4,4,1
associative_retrieval_v2,,/home/jovyan/rmt/wip/base_models/gptconfigs/neox_tiny_2l2h.json,base_models.modeling_gpt_neox:GPTNeoXForCausalLM,decoder,0.0001,2048,linear,2,,1,../runs/associative_retrieval_v2//lr1e-04_linear_adamw_wd1e-03_k4-v4-p1-2x2048_mem1_bs2048_regular_bptt-2_2l2h/run_1,21250,0.5547999739646912,4,4,1
associative_retrieval_v2,,/home/jovyan/rmt/wip/base_models/gptconfigs/neox_tiny_2l2h.json,base_models.modeling_gpt_neox:GPTNeoXForCausalLM,decoder,0.0001,2048,linear,2,,1,../runs/associative_retrieval_v2//lr1e-04_linear_adamw_wd1e-03_k4-v4-p1-2x2048_mem1_bs2048_regular_bptt-2_2l2h/run_1,25000,0.6182000041007996,4,4,1
associative_retrieval_v2,,/home/jovyan/rmt/wip/base_models/gptconfigs/neox_tiny_2l2h.json,base_models.modeling_gpt_neox:GPTNeoXForCausalLM,decoder,0.0001,2048,linear,2,,1,../runs/associative_retrieval_v2//lr1e-04_linear_adamw_wd1e-03_k4-v4-p1-2x2048_mem1_bs2048_regular_bptt-2_2l2h/run_1,21250,0.6579999923706055,4,4,1
associative_retrieval_v2,,/home/jovyan/rmt/wip/base_models/gptconfigs/neox_tiny_2l2h.json,base_models.modeling_gpt_neox:GPTNeoXForCausalLM,decoder,0.0001,2048,linear,2,,1,../runs/associative_retrieval_v2//lr1e-04_linear_adamw_wd1e-03_k4-v4-p1-2x2048_mem1_bs2048_regular_bptt-2_2l2h/run_1,50000,0.7185999751091003,4,4,1
associative_retrieval_v2,,/home/jovyan/rmt/wip/base_models/gptconfigs/neox_tiny_2l2h.json,base_models.modeling_gpt_neox:GPTNeoXForCausalLM,decoder,0.0001,2048,linear,2,,1,../runs/associative_retrieval_v2//lr1e-04_linear_adamw_wd1e-03_k4-v4-p1-2x2048_mem1_bs2048_regular_bptt-2_2l2h/run_1,142500,0.699400007724762,4,4,1
associative_retrieval_v2,,/home/jovyan/rmt/wip/base_models/gptconfigs/neox_tiny_4l4h.json,base_models.modeling_gpt_neox:GPTNeoXForCausalLM,decoder,0.0001,2048,linear,2,,1,../runs/associative_retrieval_v2//lr1e-04_linear_adamw_wd1e-03_k4-v4-p1-2x2048_mem1_bs2048_regular_bptt-2_2l2h/run_2,42500,0.7455999851226807,4,4,1
associative_retrieval_v2,,/home/jovyan/rmt/wip/base_models/gptconfigs/neox_tiny_4l4h.json,base_models.modeling_gpt_neox:GPTNeoXForCausalLM,decoder,0.0001,2048,linear,2,,1,../runs/associative_retrieval_v2//lr1e-04_linear_adamw_wd1e-03_k4-v4-p1-2x2048_mem1_bs2048_regular_bptt-2_2l2h/run_2,42500,0.6790000200271606,4,4,1
associative_retrieval_v2,,/home/jovyan/rmt/wip/base_models/gptconfigs/neox_tiny_4l4h.json,base_models.modeling_gpt_neox:GPTNeoXForCausalLM,decoder,0.0001,2048,linear,2,,1,../runs/associative_retrieval_v2//lr1e-04_linear_adamw_wd1e-03_k4-v4-p1-2x2048_mem1_bs2048_regular_bptt-2_2l2h/run_3,42500,0.6510000228881836,4,4,1
associative_retrieval_v2,,/home/jovyan/rmt/wip/base_models/gptconfigs/neox_tiny_4l4h.json,base_models.modeling_gpt_neox:GPTNeoXForCausalLM,decoder,0.0001,2048,linear,2,,1,../runs/associative_retrieval_v2//lr1e-04_linear_adamw_wd1e-03_k4-v4-p1-2x2048_mem1_bs2048_regular_bptt-2_2l2h/run_3,50000,0.7513999938964844,4,4,1
associative_retrieval_v2,,/home/jovyan/rmt/wip/base_models/gptconfigs/neox_tiny_4l4h.json,base_models.modeling_gpt_neox:GPTNeoXForCausalLM,decoder,0.0001,2048,linear,2,,1,../runs/associative_retrieval_v2//lr1e-04_linear_adamw_wd1e-03_k4-v4-p1-2x2048_mem1_bs2048_regular_bptt-2_4l4h/run_1,21250,0.6488000154495239,4,4,1
associative_retrieval_v2,,/home/jovyan/rmt/wip/base_models/gptconfigs/neox_tiny_4l4h.json,base_models.modeling_gpt_neox:GPTNeoXForCausalLM,decoder,0.0001,2048,linear,2,,1,../runs/associative_retrieval_v2//lr1e-04_linear_adamw_wd1e-03_k4-v4-p1-2x2048_mem1_bs2048_regular_bptt-2_4l4h/run_1,50000,0.7626000046730042,4,4,1
associative_retrieval_v2,,/home/jovyan/rmt/wip/base_models/gptconfigs/neox_tiny_4l4h.json,base_models.modeling_gpt_neox:GPTNeoXForCausalLM,decoder,0.0001,2048,linear,2,,1,../runs/associative_retrieval_v2//lr1e-04_linear_adamw_wd1e-03_k4-v4-p1-2x2048_mem1_bs2048_regular_bptt-2_4l4h/run_2,50000,0.7811999917030334,4,4,1
associative_retrieval_v2,,/home/jovyan/rmt/wip/base_models/gptconfigs/neox_tiny.json,base_models.modeling_gpt_neox:GPTNeoXForCausalLM,decoder,0.0001,2048,linear,2,,1,../runs/associative_retrieval_v2//lr1e-04_linear_adamw_wd1e-03_k4-v1-p1-2x2048_mem1_bs2048_regular_bptt-2/run_1,21250,0.5,4,1,1
associative_retrieval_v2,,/home/jovyan/rmt/wip/base_models/gptconfigs/neox_tiny.json,base_models.modeling_gpt_neox:GPTNeoXForCausalLM,decoder,0.0001,2048,linear,2,,1,../runs/associative_retrieval_v2//lr1e-04_linear_adamw_wd1e-03_k4-v1-p1-2x2048_mem1_bs2048_regular_bptt-2/run_2,42500,0.5,4,1,1
associative_retrieval_v2,,/home/jovyan/rmt/wip/base_models/gptconfigs/neox_tiny.json,base_models.modeling_gpt_neox:GPTNeoXForCausalLM,decoder,0.0001,2048,linear,2,,1,../runs/associative_retrieval_v2//lr1e-04_linear_adamw_wd1e-03_k4-v1-p1-2x2048_mem1_bs2048_regular_bptt-2/run_3,42500,0.5,4,1,1
associative_retrieval_v2,,/home/jovyan/rmt/wip/base_models/gptconfigs/neox_tiny.json,base_models.modeling_gpt_neox:GPTNeoXForCausalLM,decoder,0.0001,2048,linear,2,,1,../runs/associative_retrieval_v2//lr1e-04_linear_adamw_wd1e-03_k4-v2-p1-2x2048_mem1_bs2048_regular_bptt-2/run_1,25000,0.4573333263397217,4,2,1
associative_retrieval_v2,,/home/jovyan/rmt/wip/base_models/gptconfigs/neox_tiny.json,base_models.modeling_gpt_neox:GPTNeoXForCausalLM,decoder,0.0001,2048,linear,2,,1,../runs/associative_retrieval_v2//lr1e-04_linear_adamw_wd1e-03_k4-v2-p1-2x2048_mem1_bs2048_regular_bptt-2/run_2,2500,0.006000000052154064,4,2,1
associative_retrieval_v2,,/home/jovyan/rmt/wip/base_models/gptconfigs/neox_tiny.json,base_models.modeling_gpt_neox:GPTNeoXForCausalLM,decoder,0.0001,2048,linear,2,,1,../runs/associative_retrieval_v2//lr1e-04_linear_adamw_wd1e-03_k4-v2-p1-2x2048_mem1_bs2048_regular_bptt-2/run_3,2500,0.01366666704416275,4,2,1
associative_retrieval_v2,,/home/jovyan/rmt/wip/base_models/gptconfigs/neox_tiny.json,base_models.modeling_gpt_neox:GPTNeoXForCausalLM,decoder,0.0001,2048,linear,2,,1,../runs/associative_retrieval_v2//lr1e-04_linear_adamw_wd1e-03_k4-v8-p1-2x2048_mem1_bs2048_regular_bptt-2/run_1,25000,0.6330000162124634,4,8,1
associative_retrieval_v2,,/home/jovyan/rmt/wip/base_models/gptconfigs/neox_tiny.json,base_models.modeling_gpt_neox:GPTNeoXForCausalLM,decoder,0.0001,2048,linear,2,,1,../runs/associative_retrieval_v2//lr1e-04_linear_adamw_wd1e-03_k4-v8-p1-2x2048_mem1_bs2048_regular_bptt-2/run_2,50000,0.6878888607025146,4,8,1
associative_retrieval_v2,,/home/jovyan/rmt/wip/base_models/gptconfigs/neox_tiny.json,base_models.modeling_gpt_neox:GPTNeoXForCausalLM,decoder,0.0001,2048,linear,2,,1,../runs/associative_retrieval_v2//lr1e-04_linear_adamw_wd1e-03_k4-v8-p1-2x2048_mem1_bs2048_regular_bptt-2/run_3,47500,0.11366666853427887,4,8,1
associative_retrieval_v2,,/home/jovyan/rmt/wip/base_models/gptconfigs/neox_tiny.json,base_models.modeling_gpt_neox:GPTNeoXForCausalLM,decoder,0.0001,2048,linear,2,,2,../runs/associative_retrieval_v2//lr1e-04_linear_adamw_wd1e-03_k4-v1-p1-2x2048_mem2_bs2048_regular_bptt-2/run_1,21250,0.5,4,1,1
associative_retrieval_v2,,/home/jovyan/rmt/wip/base_models/gptconfigs/neox_tiny.json,base_models.modeling_gpt_neox:GPTNeoXForCausalLM,decoder,0.0001,2048,linear,2,,2,../runs/associative_retrieval_v2//lr1e-04_linear_adamw_wd1e-03_k4-v1-p1-2x2048_mem2_bs2048_regular_bptt-2/run_1,42500,0.5,4,1,1
associative_retrieval_v2,,/home/jovyan/rmt/wip/base_models/gptconfigs/neox_tiny.json,base_models.modeling_gpt_neox:GPTNeoXForCausalLM,decoder,0.0001,2048,linear,2,,2,../runs/associative_retrieval_v2//lr1e-04_linear_adamw_wd1e-03_k4-v1-p1-2x2048_mem2_bs2048_regular_bptt-2/run_2,42500,0.5,4,1,1
associative_retrieval_v2,,/home/jovyan/rmt/wip/base_models/gptconfigs/neox_tiny.json,base_models.modeling_gpt_neox:GPTNeoXForCausalLM,decoder,0.0001,2048,linear,2,,2,../runs/associative_retrieval_v2//lr1e-04_linear_adamw_wd1e-03_k4-v1-p1-2x2048_mem2_bs2048_regular_bptt-2/run_3,42500,0.5,4,1,1
associative_retrieval_v2,,/home/jovyan/rmt/wip/base_models/gptconfigs/neox_tiny.json,base_models.modeling_gpt_neox:GPTNeoXForCausalLM,decoder,0.0001,2048,linear,2,,2,../runs/associative_retrieval_v2//lr1e-04_linear_adamw_wd1e-03_k4-v2-p1-2x2048_mem2_bs2048_regular_bptt-2/run_1,1250,0.010333333164453506,4,2,1
associative_retrieval_v2,,/home/jovyan/rmt/wip/base_models/gptconfigs/neox_tiny.json,base_models.modeling_gpt_neox:GPTNeoXForCausalLM,decoder,0.0001,2048,linear,2,,2,../runs/associative_retrieval_v2//lr1e-04_linear_adamw_wd1e-03_k4-v2-p1-2x2048_mem2_bs2048_regular_bptt-2/run_1,2500,0.10466666519641876,4,2,1
associative_retrieval_v2,,/home/jovyan/rmt/wip/base_models/gptconfigs/neox_tiny.json,base_models.modeling_gpt_neox:GPTNeoXForCausalLM,decoder,0.0001,2048,linear,2,,2,../runs/associative_retrieval_v2//lr1e-04_linear_adamw_wd1e-03_k4-v2-p1-2x2048_mem2_bs2048_regular_bptt-2/run_2,2500,0.014333332888782024,4,2,1
associative_retrieval_v2,,/home/jovyan/rmt/wip/base_models/gptconfigs/neox_tiny.json,base_models.modeling_gpt_neox:GPTNeoXForCausalLM,decoder,0.0001,2048,linear,2,,2,../runs/associative_retrieval_v2//lr1e-04_linear_adamw_wd1e-03_k4-v2-p1-2x2048_mem2_bs2048_regular_bptt-2/run_3,2500,0.009333333000540733,4,2,1
associative_retrieval_v2,,/home/jovyan/rmt/wip/base_models/gptconfigs/neox_tiny.json,base_models.modeling_gpt_neox:GPTNeoXForCausalLM,decoder,0.0001,2048,linear,2,,2,../runs/associative_retrieval_v2//lr1e-04_linear_adamw_wd1e-03_k4-v4-p1-2x2048_mem2_bs2048_regular_bptt-2/run_1,25000,0.4235999882221222,4,4,1
