fact1,fact2,question,answer
The hallway is east of the bathroom.,The bedroom is west of the bathroom.,What is the bathroom east of?,bedroom
The bedroom is west of the kitchen.,The hallway is west of the bedroom.,What is west of the kitchen?,bedroom
The bathroom is north of the garden.,The hallway is north of the bathroom.,What is north of the garden?,bathroom
The kitchen is south of the bathroom.,The bedroom is south of the kitchen.,What is south of the kitchen?,bedroom
The bedroom is east of the kitchen.,The office is east of the bedroom.,What is east of the kitchen?,bedroom
The garden is east of the bathroom.,The garden is west of the hallway.,What is the bathroom west of?,garden
The kitchen is east of the bedroom.,The garden is west of the bedroom.,What is east of the bedroom?,kitchen
The garden is north of the bedroom.,The bathroom is north of the garden.,What is the garden south of?,bathroom
The kitchen is south of the office.,The garden is south of the kitchen.,What is south of the office?,kitchen
The office is east of the hallway.,The hallway is east of the garden.,What is east of the hallway?,office
The hallway is south of the office.,The garden is north of the office.,What is north of the office?,garden
The garden is south of the kitchen.,The office is north of the kitchen.,What is south of the kitchen?,garden
The bathroom is east of the kitchen.,The bedroom is east of the bathroom.,What is east of the kitchen?,bathroom
The bathroom is east of the kitchen.,The garden is west of the kitchen.,What is west of the kitchen?,garden
The garden is north of the bedroom.,The bedroom is north of the office.,What is north of the bedroom?,garden
The garden is west of the bathroom.,The garden is east of the hallway.,What is east of the hallway?,garden
The hallway is east of the office.,The hallway is west of the bathroom.,What is east of the office?,hallway
The office is south of the bathroom.,The kitchen is north of the bathroom.,What is south of the bathroom?,office
The kitchen is north of the bedroom.,The garden is south of the bedroom.,What is the bedroom north of?,garden
The garden is east of the kitchen.,The bedroom is west of the kitchen.,What is the kitchen west of?,garden
The hallway is east of the office.,The garden is west of the office.,What is the office east of?,garden
The kitchen is south of the bathroom.,The garden is north of the bathroom.,What is the bathroom south of?,garden
The kitchen is south of the bedroom.,The bathroom is north of the bedroom.,What is north of the bedroom?,bathroom
The office is north of the bathroom.,The bathroom is north of the bedroom.,What is the bedroom south of?,bathroom
The hallway is east of the bedroom.,The office is west of the bedroom.,What is the bedroom west of?,hallway
The kitchen is west of the bathroom.,The office is east of the bathroom.,What is east of the bathroom?,office
The office is north of the bedroom.,The bedroom is north of the hallway.,What is north of the bedroom?,office
The office is east of the bathroom.,The hallway is west of the bathroom.,What is west of the bathroom?,hallway
The garden is south of the bathroom.,The office is north of the bathroom.,What is the bathroom north of?,garden
The garden is north of the office.,The garden is south of the bathroom.,What is north of the office?,garden
The bedroom is east of the kitchen.,The office is east of the bedroom.,What is east of the kitchen?,bedroom
The kitchen is east of the hallway.,The kitchen is west of the bathroom.,What is the bathroom east of?,kitchen
The bathroom is north of the garden.,The bedroom is south of the garden.,What is north of the garden?,bathroom
The kitchen is east of the bedroom.,The hallway is west of the bedroom.,What is the bedroom west of?,kitchen
The hallway is south of the kitchen.,The bedroom is north of the kitchen.,What is the kitchen south of?,bedroom
The garden is west of the bathroom.,The bedroom is west of the garden.,What is the bathroom east of?,garden
The office is south of the hallway.,The hallway is south of the bathroom.,What is south of the hallway?,office
The hallway is south of the bathroom.,The bedroom is north of the bathroom.,What is north of the bathroom?,bedroom
The bedroom is west of the bathroom.,The bathroom is west of the office.,What is the bathroom east of?,bedroom
The office is south of the kitchen.,The office is north of the bedroom.,What is north of the bedroom?,office
The bathroom is south of the kitchen.,The hallway is south of the bathroom.,What is south of the kitchen?,bathroom
The bedroom is west of the office.,The bathroom is west of the bedroom.,What is west of the office?,bedroom
The kitchen is north of the garden.,The bedroom is north of the kitchen.,What is the garden south of?,kitchen
The garden is north of the bathroom.,The garden is south of the bedroom.,What is south of the bedroom?,garden
The garden is north of the office.,The hallway is south of the office.,What is the office south of?,garden
The office is west of the bedroom.,The hallway is west of the office.,What is the office east of?,hallway
The garden is south of the office.,The bedroom is south of the garden.,What is south of the office?,garden
The garden is west of the bedroom.,The bedroom is west of the bathroom.,What is west of the bedroom?,garden
The garden is east of the hallway.,The bedroom is west of the hallway.,What is east of the hallway?,garden
The garden is north of the office.,The hallway is south of the office.,What is the office south of?,garden
The bedroom is south of the hallway.,The hallway is south of the garden.,What is the hallway north of?,bedroom
The office is north of the garden.,The garden is north of the bathroom.,What is north of the bathroom?,garden
The hallway is south of the bedroom.,The bedroom is south of the garden.,What is the bedroom north of?,hallway
The kitchen is east of the bathroom.,The bathroom is east of the garden.,What is east of the garden?,bathroom
The office is east of the bedroom.,The bathroom is west of the bedroom.,What is west of the bedroom?,bathroom
The garden is east of the hallway.,The bedroom is west of the hallway.,What is east of the hallway?,garden
The hallway is west of the bedroom.,The hallway is east of the kitchen.,What is the bedroom east of?,hallway
The garden is east of the hallway.,The kitchen is west of the hallway.,What is west of the hallway?,kitchen
The garden is south of the hallway.,The hallway is south of the bedroom.,What is south of the bedroom?,hallway
The bathroom is north of the garden.,The kitchen is south of the garden.,What is the garden north of?,kitchen
The hallway is south of the bedroom.,The bathroom is south of the hallway.,What is the bedroom north of?,hallway
The office is south of the bedroom.,The bedroom is south of the hallway.,What is south of the hallway?,bedroom
The garden is north of the hallway.,The kitchen is south of the hallway.,What is the hallway north of?,kitchen
The hallway is west of the bedroom.,The garden is west of the hallway.,What is west of the bedroom?,hallway
The garden is east of the office.,The bedroom is east of the garden.,What is east of the garden?,bedroom
The office is south of the bedroom.,The bedroom is south of the garden.,What is the bedroom north of?,office
The hallway is north of the bedroom.,The bathroom is south of the bedroom.,What is the bedroom north of?,bathroom
The bedroom is south of the garden.,The office is north of the garden.,What is the garden south of?,office
The garden is west of the bathroom.,The kitchen is east of the bathroom.,What is the bathroom west of?,kitchen
The garden is west of the hallway.,The bathroom is east of the hallway.,What is the hallway east of?,garden
The hallway is north of the bedroom.,The bathroom is south of the bedroom.,What is south of the bedroom?,bathroom
The kitchen is north of the garden.,The office is south of the garden.,What is the garden south of?,kitchen
The garden is south of the hallway.,The garden is north of the bedroom.,What is the bedroom south of?,garden
The hallway is south of the office.,The bathroom is north of the office.,What is north of the office?,bathroom
The hallway is south of the office.,The bathroom is south of the hallway.,What is the hallway north of?,bathroom
The garden is south of the bedroom.,The bedroom is south of the hallway.,What is south of the hallway?,bedroom
The bedroom is west of the hallway.,The bathroom is east of the hallway.,What is the hallway east of?,bedroom
The bathroom is north of the office.,The office is north of the garden.,What is north of the office?,bathroom
The kitchen is east of the garden.,The bathroom is east of the kitchen.,What is east of the garden?,kitchen
The office is south of the kitchen.,The hallway is north of the kitchen.,What is the kitchen south of?,hallway
The bedroom is east of the office.,The garden is west of the office.,What is west of the office?,garden
The office is east of the bedroom.,The hallway is east of the office.,What is the bedroom west of?,office
The bathroom is south of the hallway.,The kitchen is north of the hallway.,What is the hallway south of?,kitchen
The garden is east of the office.,The bedroom is east of the garden.,What is the office west of?,garden
The office is south of the hallway.,The bathroom is north of the hallway.,What is north of the hallway?,bathroom
The office is west of the garden.,The bathroom is west of the office.,What is west of the garden?,office
The garden is west of the hallway.,The office is west of the garden.,What is west of the garden?,office
The garden is east of the bathroom.,The kitchen is east of the garden.,What is east of the bathroom?,garden
The kitchen is north of the bathroom.,The bathroom is north of the office.,What is north of the office?,bathroom
The kitchen is east of the bedroom.,The hallway is west of the bedroom.,What is the bedroom west of?,kitchen
The office is north of the bathroom.,The hallway is north of the office.,What is the bathroom south of?,office
The kitchen is west of the bedroom.,The office is east of the bedroom.,What is east of the bedroom?,office
The bedroom is south of the office.,The bedroom is north of the hallway.,What is south of the office?,bedroom
The kitchen is east of the bathroom.,The bathroom is east of the garden.,What is the garden west of?,bathroom
The hallway is west of the bedroom.,The garden is east of the bedroom.,What is the bedroom west of?,garden
The garden is north of the kitchen.,The hallway is north of the garden.,What is north of the garden?,hallway
The bedroom is east of the kitchen.,The bathroom is west of the kitchen.,What is the kitchen west of?,bedroom
