task_name,from_pretrained,model_cfg,model_cls,model_type,lr,batch_size,HVD_SIZE,lr_scheduler,input_seq_len,max_n_segments,input_size,num_mem_tokens,segment_ordering,model_path,sum_loss,memory_layers,share_memory_layers,reconstruction_loss_coef,num_steps,best_valid_loss,model_cpt,backbone_cpt,k1,k2,freeze_model_weights,use_truncated_backward,vary_n_segments
wikitext-2-v1,gpt2,,transformers:AutoModelForCausalLM,decoder,5e-05,32,1,linear,128,1,128,,regular,../runs/lm/wikitext-2-v1/gpt2/lr5e-05_linear_adamw_wd1e-03_128-128-1x128_memNA_bs32_iters10000_regular/run_1,False,,False,,0.0,4.058472156524658,,,-1,-1,False,False,
wikitext-2-v1,gpt2,,transformers:AutoModelForCausalLM,decoder,5e-05,32,1,linear,128,1,128,,regular,../runs/lm/wikitext-2-v1/gpt2/lr5e-05_linear_adamw_wd1e-03_128-128-1x128_memNA_bs32_iters10000_regular/run_1,False,,False,,10000.0,2.9518063068389893,,,-1,-1,False,False,
wikitext-2-v1,gpt2,,modeling_gpt2:GPT2LMHeadModel,decoder,0.005,32,1,linear,128,1,128,,regular,../runs/lm/wikitext-2-v1/gpt2/lr5e-03_linear_adamw_wd1e-03_128-128-1x128_memNA_bs32_iters10000_regular_lora_freeze/run_1,False,,False,,2000.0,3.1223859786987305,,,-1,-1,True,False,
wikitext-2-v1,gpt2,,modeling_gpt2:GPT2LMHeadModel,decoder,0.005,32,1,linear,128,1,128,,regular,../runs/lm/wikitext-2-v1/gpt2/lr5e-03_linear_adamw_wd1e-03_128-128-1x128_memNA_bs32_iters10000_regular_lora_freeze/run_1,False,,False,,10000.0,3.0582432746887207,,,-1,-1,True,False,
wikitext-2-v1,gpt2,,modeling_rmt.language_modeling:RMTDecoderLMHeadMultiSeg,decoder,0.005,32,1,linear,252,2,128,1.0,regular,../runs/lm_long/wikitext-2-v1/gpt2/lr5e-03_linear_adamw_wd1e-03_252-128-2x128_mem1_bs32_iters10000_regular_bptt-4_lora_freeze/run_1,False,,False,,10000.0,2.9860877990722656,,,-1,4,True,False,
wikitext-2-v1,gpt2,,transformers:AutoModelForCausalLM,decoder,1e-05,32,1,linear,128,1,128,,regular,../runs/lm/wikitext-2-v1/gpt2/lr1e-05_linear_adamw_wd1e-03_128-128-1x128_memNA_bs32_iters10000_regular/run_1,False,,False,,10000.0,2.9566893577575684,,,-1,-1,False,False,
wikitext-2-v1,gpt2,,modeling_gpt2:GPT2LMHeadModel,decoder,0.001,32,1,linear,128,1,128,,regular,../runs/lm/wikitext-2-v1/gpt2/lr1e-03_linear_adamw_wd1e-03_128-128-1x128_memNA_bs32_iters10000_regular_lora_freeze/run_1,False,,False,,10000.0,3.0530781745910645,,,-1,-1,True,False,
wikitext-2-v1,gpt2,,transformers:AutoModelForCausalLM,decoder,7e-05,32,1,linear,128,1,128,,regular,../runs/lm/wikitext-2-v1/gpt2/lr7e-05_linear_adamw_wd1e-03_128-128-1x128_memNA_bs32_iters10000_regular/run_1,False,,False,,10000.0,2.9676527976989746,,,-1,-1,False,False,
wikitext-2-v1,gpt2,,modeling_gpt2:GPT2LMHeadModel,decoder,0.0005,32,1,linear,128,1,128,,regular,../runs/lm/wikitext-2-v1/gpt2/lr5e-04_linear_adamw_wd1e-03_128-128-1x128_memNA_bs32_iters10000_regular_lora_freeze/run_1,False,,False,,10000.0,3.0560216903686523,,,-1,-1,True,False,
wikitext-2-v1,gpt2,,modeling_gpt2:GPT2LMHeadModel,decoder,0.0005,32,1,linear,128,1,128,,regular,../runs/lm/wikitext-2-v1/gpt2/lr5e-04_linear_adamw_wd1e-03_128-128-1x128_memNA_bs32_iters10000_regular_lora_freeze/run_1,False,,False,,10000.0,3.0559604167938232,,,-1,-1,True,False,
wikitext-2-v1,gpt2,,modeling_rmt.language_modeling:RMTDecoderLMHeadMultiSeg,decoder,7e-05,32,1,linear,124,1,128,2.0,regular,../runs/lm/wikitext-2-v1/gpt2/linear_adamw_wd1e-03_124-128-1x128_mem2_bs32_regular_bptt-1_from_cpt_0-1/run_1,False,,False,,10000.0,2.9482195377349854,,,-1,1,False,False,
wikitext-2-v1,gpt2,,modeling_rmt.language_modeling:RMTDecoderLMHeadMultiSeg,decoder,7e-05,32,1,linear,124,1,128,2.0,regular,../runs/lm/wikitext-2-v1/gpt2/linear_adamw_wd1e-03_124-128-1x128_mem2_bs32_regular_bptt-1_from_cpt_0-1/run_1,False,,False,,10000.0,2.954094886779785,,,-1,1,False,False,
wikitext-2-v1,gpt2,,modeling_rmt.language_modeling:RMTDecoderLMHeadMultiSeg,decoder,7e-05,32,1,linear,124,1,128,2.0,regular,../runs/lm/wikitext-2-v1/gpt2/linear_adamw_wd1e-03_124-128-1x128_mem2_bs32_regular_bptt-1_from_cpt_0-1/run_1,False,,False,,10000.0,2.9533774852752686,,,-1,1,False,False,
wikitext-2-v1,gpt2,,modeling_gpt2:GPT2LMHeadModel,decoder,0.007,32,1,linear,128,1,128,,regular,../runs/lm/wikitext-2-v1/gpt2/lr7e-03_linear_adamw_wd1e-03_128-128-1x128_memNA_bs32_iters10000_regular_lora_freeze/run_1,False,,False,,10000.0,3.060209035873413,,,-1,-1,True,False,
wikitext-2-v1,gpt2,,modeling_gpt2:GPT2LMHeadModel,decoder,0.0001,32,1,linear,128,1,128,,regular,../runs/lm/wikitext-2-v1/gpt2/lr1e-04_linear_adamw_wd1e-03_128-128-1x128_memNA_bs32_iters10000_regular_lora_freeze/run_1,False,,False,,10000.0,3.0891518592834473,,,-1,-1,True,False,
wikitext-2-v1,gpt2,,modeling_rmt.language_modeling:RMTDecoderLMHeadMultiSeg,decoder,5e-05,32,1,linear,252,2,128,1.0,regular,../runs/lm/wikitext-2-v1/gpt2/linear_adamw_wd1e-03_252-128-2x128_mem1_bs32_regular_bptt-2_from_cpt_0-1/run_1,False,,False,,10000.0,4.526843070983887,,,-1,2,False,False,
wikitext-2-v1,gpt2,,modeling_gpt2:GPT2LMHeadModel,decoder,0.01,32,1,linear,128,1,128,,regular,../runs/lm/wikitext-2-v1/gpt2/lr1e-02_linear_adamw_wd1e-03_128-128-1x128_memNA_bs32_iters10000_regular_lora_freeze/run_1,False,,False,,10000.0,3.0747220516204834,,,-1,-1,True,False,
wikitext-2-v1,gpt2,,modeling_rmt.language_modeling:RMTDecoderLMHeadMultiSeg,decoder,5e-05,32,1,linear,248,2,128,2.0,regular,../runs/lm/wikitext-2-v1/gpt2/linear_adamw_wd1e-03_248-128-2x128_mem2_bs32_regular_bptt-2_from_cpt_0-1/run_1,False,,False,,10000.0,3.7054543495178223,,,-1,2,False,False,
wikitext-2-v1,gpt2,,modeling_rmt.language_modeling:RMTDecoderLMHeadMultiSeg,decoder,0.005,32,1,linear,126,1,128,1.0,regular,../runs/lm/wikitext-2-v1/gpt2/lr5e-03_linear_adamw_wd1e-03_126-128-1x128_mem1_bs32_iters10000_regular_bptt-4_lora_freeze/run_1,False,,False,,10000.0,3.0490524768829346,,,-1,4,True,False,
wikitext-2-v1,gpt2,,modeling_rmt.language_modeling:RMTDecoderLMHeadMultiSeg,decoder,0.001,32,1,linear,126,1,128,1.0,regular,../runs/lm/wikitext-2-v1/gpt2/lr1e-03_linear_adamw_wd1e-03_126-128-1x128_mem1_bs32_iters10000_regular_bptt-4_lora_freeze/run_1,False,,False,,10000.0,3.047299385070801,,,-1,4,True,False,
wikitext-2-v1,gpt2,,modeling_rmt.language_modeling:RMTDecoderLMHeadMultiSeg,decoder,0.0005,32,1,linear,126,1,128,1.0,regular,../runs/lm/wikitext-2-v1/gpt2/lr5e-04_linear_adamw_wd1e-03_126-128-1x128_mem1_bs32_iters10000_regular_bptt-4_lora_freeze/run_1,False,,False,,10000.0,3.0489578247070312,,,-1,4,True,False,
wikitext-2-v1,gpt2,,modeling_rmt.language_modeling:RMTDecoderLMHeadMultiSeg,decoder,0.0005,32,1,linear,126,1,128,1.0,regular,../runs/lm/wikitext-2-v1/gpt2/lr5e-04_linear_adamw_wd1e-03_126-128-1x128_mem1_bs32_iters10000_regular_bptt-4_lora_freeze/run_1,False,,False,,10000.0,3.0475852489471436,,,-1,4,True,False,
