from_pretrained,model_cfg,model_cls,model_type,lr,batch_size,lr_scheduler,max_n_segments,num_mem_tokens,model_path,num_steps,exact_match,k2,freeze_model_weights
gpt2,,transformers:AutoModelForCausalLM,decoder,5e-05,16,linear,4,32.0,/home/jovyan/rmt/runs/babilong/qa1_single-supporting-fact/gpt2/lr5e-05_linear_adamw_wd1e-03_4x512_mem32_bs64_bptt--1_vary/run_1,0.0,,-1,False
gpt2,,transformers:AutoModelForCausalLM,decoder,5e-05,16,linear,4,32.0,/home/jovyan/rmt/runs/babilong/qa1_single-supporting-fact/gpt2/lr5e-05_linear_adamw_wd1e-03_4x512_mem32_bs64_bptt--1_vary/run_1,0.0,,-1,False
gpt2,,transformers:AutoModelForCausalLM,decoder,5e-05,16,linear,4,32.0,/home/jovyan/rmt/runs/babilong/qa1_single-supporting-fact/gpt2/lr5e-05_linear_adamw_wd1e-03_4x512_mem32_bs64_bptt--1_vary/run_1,0.0,,-1,False
gpt2,,transformers:AutoModelForCausalLM,decoder,5e-05,16,linear,4,32.0,/home/jovyan/rmt/runs/babilong/qa1_single-supporting-fact/gpt2/lr5e-05_linear_adamw_wd1e-03_4x512_mem32_bs64_bptt--1_vary/run_1,100.0,,-1,False
gpt2,,transformers:AutoModelForCausalLM,decoder,5e-05,16,linear,4,32.0,/home/jovyan/rmt/runs/babilong/qa1_single-supporting-fact/gpt2/lr5e-05_linear_adamw_wd1e-03_4x512_mem32_bs64_bptt--1_vary/run_1,100.0,,-1,False
gpt2,,transformers:AutoModelForCausalLM,decoder,5e-05,16,linear,4,32.0,/home/jovyan/rmt/runs/babilong/qa1_single-supporting-fact/gpt2/lr5e-05_linear_adamw_wd1e-03_4x512_mem32_bs64_bptt--1_vary/run_1,5000.0,0.9240000247955322,-1,False
gpt2,,transformers:AutoModelForCausalLM,decoder,5e-05,16,linear,4,16.0,/home/jovyan/rmt/runs/babilong/qa1_single-supporting-fact/gpt2/lr5e-05_linear_adamw_wd1e-03_4x512_mem16_bs64_bptt--1_vary/run_1,100.0,,-1,False
gpt2,,transformers:AutoModelForCausalLM,decoder,5e-05,16,linear,4,16.0,/home/jovyan/rmt/runs/babilong/qa1_single-supporting-fact/gpt2/lr5e-05_linear_adamw_wd1e-03_4x512_mem16_bs64_bptt--1_vary/run_1,100.0,,-1,False
gpt2,,transformers:AutoModelForCausalLM,decoder,5e-05,16,linear,4,16.0,/home/jovyan/rmt/runs/babilong/qa1_single-supporting-fact/gpt2/lr5e-05_linear_adamw_wd1e-03_4x512_mem16_bs64_bptt--1_vary/run_1,5000.0,0.9980000257492065,-1,False
gpt2,,transformers:AutoModelForCausalLM,decoder,5e-05,8,linear,8,32.0,/home/jovyan/rmt/runs/babilong/qa1_single-supporting-fact/gpt2/lr5e-05_linear_adamw_wd1e-03_8x512_mem32_bs64_bptt--1_vary/run_1,5000.0,0.9570000171661377,-1,False
gpt2,,transformers:AutoModelForCausalLM,decoder,5e-05,8,linear,8,16.0,/home/jovyan/rmt/runs/babilong/qa1_single-supporting-fact/gpt2/lr5e-05_linear_adamw_wd1e-03_8x512_mem16_bs64_bptt--1_vary/run_1,5000.0,0.9940000176429749,-1,False
gpt2,,transformers:AutoModelForCausalLM,decoder,5e-05,4,linear,16,32.0,/home/jovyan/rmt/runs/babilong/qa1_single-supporting-fact/gpt2/lr5e-05_linear_adamw_wd1e-03_16x512_mem32_bs64_bptt--1_vary/run_1,5000.0,0.6919999718666077,-1,False
gpt2,,transformers:AutoModelForCausalLM,decoder,5e-05,4,linear,16,16.0,/home/jovyan/rmt/runs/babilong/qa1_single-supporting-fact/gpt2/lr5e-05_linear_adamw_wd1e-03_16x512_mem16_bs64_bptt--1_vary/run_1,5000.0,0.9750000238418579,-1,False
gpt2,,transformers:AutoModelForCausalLM,decoder,5e-05,2,linear,32,32.0,/home/jovyan/rmt/runs/babilong/qa1_single-supporting-fact/gpt2/lr5e-05_linear_adamw_wd1e-03_32x512_mem32_bs64_bptt--1_vary/run_1,4250.0,0.05000000074505806,-1,False
