task_name,from_pretrained,model_cfg,model_cls,model_type,lr,batch_size,HVD_SIZE,lr_scheduler,input_seq_len,max_n_segments,input_size,num_mem_tokens,segment_ordering,model_path,sum_loss,memory_layers,share_memory_layers,reconstruction_loss_coef,num_steps,backbone_cpt,k1,k2,freeze_model_weights,use_truncated_backward
arxiv,,/home/jovyan/rmt/t5-experiments/gptconfigs/gpt2_small_4k.json,modeling_gpt2:GPT2LMHeadModel,decoder,5e-05,1,1,linear,4000,1,4000,,regular,../runs/memtest/arxiv/gpt2/lr5e-05_linear_adamw_wd1e-03_4000-4000-1x4000_memNA_bs1_iters100_regular/run_1,False,,False,,100,,-1,-1,False,False
arxiv,,/home/jovyan/rmt/t5-experiments/gptconfigs/gpt2_small_4k.json,modeling_gpt2:GPT2LMHeadModel,decoder,5e-05,1,1,linear,4000,1,4000,,regular,../runs/memtest/arxiv/gpt2/lr5e-05_linear_adamw_wd1e-03_4000-4000-1x4000_memNA_bs1_iters100_regular/run_1,False,,False,,100,,-1,-1,False,False
arxiv,,/home/jovyan/rmt/t5-experiments/gptconfigs/gpt2_small_4k.json,modeling_gpt2:GPT2LMHeadModel,decoder,5e-05,1,1,linear,4000,1,4000,,regular,../runs/memtest/arxiv/gpt2/lr5e-05_linear_adamw_wd1e-03_4000-4000-1x4000_memNA_bs1_iters100_regular/run_1,False,,False,,100,,-1,-1,False,False
arxiv,,/home/jovyan/rmt/t5-experiments/gptconfigs/gpt2_small_1k.json,modeling_gpt2:GPT2LMHeadModel,decoder,5e-05,1,1,linear,1000,1,1000,,regular,../runs/memtest/arxiv/gpt2/lr5e-05_linear_adamw_wd1e-03_1000-1000-1x1000_memNA_bs1_iters100_regular/run_1,False,,False,,100,,-1,-1,False,False
arxiv,,/home/jovyan/rmt/t5-experiments/gptconfigs/gpt2_small_1k.json,modeling_gpt2:GPT2LMHeadModel,decoder,5e-05,1,1,linear,1000,1,1000,,regular,../runs/memtest/arxiv/gpt2/lr5e-05_linear_adamw_wd1e-03_1000-1000-1x1000_memNA_bs1_iters100_regular/run_1,False,,False,,100,,-1,-1,False,False
arxiv,,/home/jovyan/rmt/t5-experiments/gptconfigs/gpt2_small_2k.json,modeling_gpt2:GPT2LMHeadModel,decoder,5e-05,1,1,linear,2000,1,2000,,regular,../runs/memtest/arxiv/gpt2/lr5e-05_linear_adamw_wd1e-03_2000-2000-1x2000_memNA_bs1_iters100_regular/run_1,False,,False,,100,,-1,-1,False,False
arxiv,,/home/jovyan/rmt/t5-experiments/gptconfigs/gpt2_small_2k.json,modeling_gpt2:GPT2LMHeadModel,decoder,5e-05,1,1,linear,2000,1,2000,,regular,../runs/memtest/arxiv/gpt2/lr5e-05_linear_adamw_wd1e-03_2000-2000-1x2000_memNA_bs1_iters100_regular/run_1,False,,False,,100,,-1,-1,False,False
arxiv,,/home/jovyan/rmt/t5-experiments/gptconfigs/gpt2_small_8k.json,modeling_gpt2:GPT2LMHeadModel,decoder,5e-05,1,1,linear,8000,1,8000,,regular,../runs/memtest/arxiv/gpt2/lr5e-05_linear_adamw_wd1e-03_8000-8000-1x8000_memNA_bs1_iters100_regular/run_1,False,,False,,0,,-1,-1,False,False
arxiv,,/home/jovyan/rmt/t5-experiments/gptconfigs/gpt2_small_1k.json,modeling_gpt2:GPT2LMHeadModel,decoder,5e-05,1,1,linear,1000,1,1000,,regular,../runs/memtest/arxiv/gpt2/lr5e-05_linear_adamw_wd1e-03_1000-1000-1x1000_mem0_bs1_iters100_regular/run_1,False,,False,,100,,-1,-1,False,False
arxiv,,/home/jovyan/rmt/t5-experiments/gptconfigs/gpt2_small_1k.json,modeling_rmt.language_modeling:RMTDecoderLMHeadMultiSeg,decoder,5e-05,1,1,linear,1000,1,1000,2.0,regular,../runs/memtest/arxiv/gpt2/lr5e-05_linear_adamw_wd1e-03_1000-1000-1x1000_mem2_bs1_iters100_regular/run_1,False,,False,,100,,-1,-1,False,False
