task_name,from_pretrained,model_cfg,model_cls,model_type,lr,batch_size,HVD_SIZE,lr_scheduler,input_seq_len,max_n_segments,input_size,num_mem_tokens,segment_ordering,model_path,sum_loss,memory_layers,share_memory_layers,reconstruction_loss_coef,num_steps,best_valid_loss,backbone_cpt,k1,k2,freeze_model_weights,use_truncated_backward
arxiv,gpt2,,transformers:AutoModelForCausalLM,decoder,5e-05,8,2,linear,1024,1,1024,,regular,../runs/arxiv/gpt2/lr5e-05_linear_adamw_wd1e-03_1024-1024-1x1024_memNA_bs32_iters150000_regular/run_1,False,,False,,150000.0,1.6966869831085205,,-1,-1,False,False
arxiv,gpt2,,modeling_rmt.language_modeling:RMTDecoderLMHeadMultiSeg,decoder,5e-05,4,4,linear,248,2,128,2.0,regular,../runs/arxiv/gpt2/linear_adamw_wd1e-03_248-128-2x128_mem2_bs32_regular_bptt-2_from_cpt_1-2/run_1,False,,False,,25000.0,2.2224271297454834,,-1,2,False,False
arxiv,gpt2,,modeling_rmt.language_modeling:RMTDecoderLMHeadMultiSeg,decoder,5e-05,32,1,linear,248,2,128,2.0,regular,../runs/arxiv/gpt2/linear_adamw_wd1e-03_248-128-2x128_mem2_bs32_regular_bptt-2_from_cpt_1-2/run_4,False,,False,,0.0,2.245917320251465,,-1,2,False,False
arxiv,gpt2,,modeling_rmt.language_modeling:RMTDecoderLMHeadMultiSeg,decoder,5e-05,32,1,linear,248,2,128,2.0,regular,../runs/arxiv/gpt2/linear_adamw_wd1e-03_248-128-2x128_mem2_bs32_regular_bptt-2_from_cpt_1-2/run_4,False,,False,,0.0,2.2455828189849854,,-1,2,False,False
arxiv,gpt2,,modeling_rmt.language_modeling:RMTDecoderLMHeadMultiSeg,decoder,5e-05,32,1,linear,248,2,128,2.0,regular,../runs/arxiv/gpt2/linear_adamw_wd1e-03_248-128-2x128_mem2_bs32_regular_bptt-2_from_cpt_1-2/run_4,False,,False,,250000.0,1.9749013185501099,,-1,2,False,False
arxiv,gpt2,,modeling_rmt.language_modeling:RMTDecoderLMHeadMultiSeg,decoder,5e-05,8,4,linear,248,2,128,2.0,regular,../runs/arxiv/gpt2/linear_adamw_wd1e-03_248-128-2x128_mem2_bs32_regular_bptt-2_from_cpt_1-2/run_5,False,,False,,250000.0,1.969374179840088,,-1,2,False,False
arxiv,gpt2,,modeling_rmt.language_modeling:RMTDecoderLMHeadMultiSeg,decoder,6e-05,8,4,linear,124,1,128,2.0,regular,../runs/arxiv/gpt2/linear_adamw_wd1e-03_124-128-1x128_mem2_bs32_regular_bptt-1_from_cpt_0-1/run_4,False,,False,,250000.0,2.2004339694976807,,-1,1,False,False
arxiv,gpt2,,modeling_rmt.language_modeling:RMTDecoderLMHeadMultiSeg,decoder,6e-05,8,4,linear,124,1,128,2.0,regular,../runs/arxiv/gpt2/linear_adamw_wd1e-03_124-128-1x128_mem2_bs32_regular_bptt-1_from_cpt_0-1/run_4,False,,False,,250000.0,2.2004339694976807,,-1,1,False,False
arxiv,gpt2,,modeling_rmt.language_modeling:RMTDecoderLMHeadMultiSeg,decoder,6e-05,16,2,linear,124,1,128,2.0,regular,../runs/arxiv/gpt2/linear_adamw_wd1e-03_124-128-1x128_mem2_bs32_regular_bptt-1_from_cpt_0-1/run_5,False,,False,,0.0,3.5100033283233643,,-1,1,False,False
arxiv,gpt2,,modeling_rmt.language_modeling:RMTDecoderLMHeadMultiSeg,decoder,6e-05,16,2,linear,124,1,128,2.0,regular,../runs/arxiv/gpt2/linear_adamw_wd1e-03_124-128-1x128_mem2_bs32_regular_bptt-1_from_cpt_0-1/run_5,False,,False,,250000.0,2.2103662490844727,,-1,1,False,False
